# evals,min,q25,med,q75,max,ave
4450.0,0.014612969139318479,0.0360360705619185,0.05834189597824918,0.10041253476470356,0.3650967882027988,0.09347323418482571
4500.0,0.014612969139318479,0.028493749365064984,0.055926513757934046,0.09918427402962678,0.3650967882027988,0.08752262471454925
4550.0,0.014612969139318479,0.027421524576283794,0.045080122624730073,0.09798448545805821,0.3107367759390434,0.07985080294149173
4600.0,0.010839799354144773,0.02588950841484213,0.043427707592619484,0.09600696325104889,0.3107367759390434,0.07645043909092335
4650.0,0.010658736212753747,0.024382688508011563,0.04024266029704691,0.08405468637692491,0.3107367759390434,0.07131896397811327
4700.0,0.006949553762164094,0.022988113389064573,0.038390484055157395,0.07532370024486139,0.3107367759390434,0.06685481810862334
4750.0,0.006949553762164094,0.01670206942127818,0.032904151317938196,0.07317324099799934,0.3107367759390434,0.06235119416645706
4800.0,0.006024842442520256,0.015713643221695557,0.026084230606148937,0.06409615380146505,0.3107367759390434,0.05896116383241232
4850.0,0.006024842442520256,0.01416528661673762,0.025809353980853267,0.06115290448102764,0.3107367759390434,0.055595305490439076
4900.0,0.003850031302447816,0.012549944235331737,0.024135379545899706,0.05545567360206622,0.3107367759390434,0.05187092129766467
4950.0,0.003850031302447816,0.010638067672411742,0.01933675555940608,0.04818817146599172,0.300781527959918,0.04591876651794227
5000.0,0.0037285011481632472,0.00949824267607607,0.01616333548038107,0.04818817146599172,0.2299389216417624,0.0419083972243253
5050.0,0.002623776852778604,0.007967412765224998,0.01528402606694832,0.04308737939518526,0.2299389216417624,0.04044356399428518
5100.0,0.002623776852778604,0.0065870929824241664,0.013951860500519752,0.034944257546039456,0.2299389216417624,0.03821793850439667
5150.0,0.002623776852778604,0.00605662018596826,0.011895450944644791,0.03383630679289721,0.2299389216417624,0.035137821705743706
5200.0,0.002623776852778604,0.005282970553915288,0.011284944978259076,0.031211803733282098,0.2299389216417624,0.03352708519040551
5250.0,0.0023854329503384926,0.005135508996825177,0.010913910432720511,0.021196899130855082,0.2299389216417624,0.030509965849812717
